Title,Description,URL
Particle Swarm Optimization for Calibration in Spatially Explicit Agent-Based Modeling," Agent Based Modeling, Particle Swarm Optimization, Calibration, CyberGIS, Influenza Particle Swarm Optimization for Calibration in Spatially Explicit Agent-Based Modeling",https://www.jasss.org/25/2/8.html
On the Interplay Among Multiple Factors: Effects of Factor Configuration in a Proof-Of-Concept Migration Agent-Based Model,"Many researchers have addressed what factors should be included in their models of coupled natural-human systems (CNHSs). However, few studies have explored how these factors should be incorporated (factor configuration). Theoretical underpinning of the factor configuration may lead to a better understanding of systematic patterns and sustainable CNHS management. In particular, we ask: (1) can factor configuration explain CNHS behaviors based on its theoretical implications? and (2) when disturbed by shocks, do CNHSs respond differently under varying factor configurations? A proof-of-concept migration agent-based model (ABM) was developed and used as a platform to investigate the effects of factor configuration on system dynamics and outcomes. Here, two factors, social ties and water availability, were assumed to have alternative substitutable, complementary, or adaptable relationships in influencing migration decisions. We analyzed how populations are distributed over different regions along a water availability gradient and how regions are culturally mixed under different factor configurations. We also subjected the system to a shock scenario of dropping 50% of water availability in one region. We found that substitutability acted as a bu er against the effect of water deficiency and prevented cultural mixing of the population by keeping residents in their home regions and slowing down residential responses against the shock. Complementarity led to the sensitive migration behavior of residents, accelerating regional migration and cultural mixing. Adaptability caused residents to stay longer in new regions, which gradually led to a well-mixed cultural condition. All together, substitutability, complementarity, and adaptability gave rise to different emergent patterns. Our findings highlight the importance of how, not just what, factors are included in a CNHS ABM, a lesson that is particularly applicable to models of interdisciplinary problems where factors of diverse nature must be incorporated. Agent Based Model, Human Migration, Factor Configuration, Decision Making Process, Social Ties On the Interplay Among Multiple Factors: Effects of Factor Configuration in a Proof-Of-Concept Migration Agent-Based Model",https://www.jasss.org/25/2/7.html
Generation of Synthetic Populations in Social Simulations: A Review of Methods and Practices,"With the aim of building realistic model of social systems, designers of agent-based models tend to incorporate more and more data and this data is of course having an impact on their outcomes. Among these data, those concerning the attributes of social agents, which together compose synthetic populations, are particularly important, but are usually difficult to collect and therefore to use in simulations. In this paper, we review the state of the art of methodologies and theories for building realistic synthetic populations for agent-based simulation models, as well as practices in the field of social simulation. We highlight, in particular, the discrepancies between theory and practice and outline the challenges in bridging this gap using a quantitative and narrative review of work published in JASSS between 2011 and 2021. Finally, we presents some ideas that can help modelers adopt better practices regarding synthetic population generation. Synthetic Population, Agent Based Simulation Model Initialisation, Data Driven Social Simulation Generation of Synthetic Populations in Social Simulations: A Review of Methods and Practices",https://www.jasss.org/25/2/6.html
A Bad Barrel Spoils a Good Apple: How Uncertainty and Networks Affect Whether Matching Rules Can Foster Cooperation,"Meritocratic matching solves the problem of cooperation by ensuring that only prosocial agents group together while excluding proselfs who are less inclined to cooperate. However, matching is less effective when estimations of individual merit rely on group-level outcomes. Prosocials in uncooperative groups are unable to change the nature of the group and are themselves forced to defect to avoid exploitation. They are then indistinguishable from proselfs, preventing them from accessing cooperative groups. We investigate informal social networks as a potential solution. Interactions in dyadic network relations provide signals of individual cooperativeness which are easier to interpret. Network relations can thus help prosocials to escape from uncooperative groups. To test our intuitions, we develop an ABM modeling cooperative behavior based on a stochastic learning model with adaptive thresholds. We investigate both randomly and homophilously formed networks. We find that homophilous networks create conditions under which meritocratic matching can function as intended. Simulation experiments identify two underlying reasons. First, dyadic network interactions in homophilous networks differentiate more between prosocials and proselfs. Second, homophilous networks create groups of prosocial agents who are aware of each other’s behavior. The stronger this prosociality segregation is, the more easily prosocials cooperate in the group context. Further analyses also highlight a downside of homophilous networks. When prosocials successfully escape from uncooperative groups, non-cooperatives have fewer encounters with prosocials, diminishing their chances to learn to cooperate through those encounters. Cooperation, Meritocratic Matching, Information, Homophily, Threshold Model, Learning A Bad Barrel Spoils a Good Apple: How Uncertainty and Networks Affect Whether Matching Rules Can Foster Cooperation",https://www.jasss.org/25/1/6.html
Sharing Risk Under Heterogeneity: Exploring Participation Patterns in Situations of Incomplete Information,"Motivated by the emergence of new Peer-to-Peer insurance organizations that rethink how insurance is organized, we have proposed a theoretical model of decision-making in risk-sharing arrangements with risk heterogeneity and incomplete information about the risk distribution as core features. For these new, informal organizations, the available institutional solutions to heterogeneity (e.g., mandatory participation or price differentiation) are either impossible or undesirable. Hence, we need to understand the scope conditions under which individuals are motivated to participate in a bottom-up risk-sharing setting. The model considers participation as a utility-maximizing alternative for agents with higher risk levels, agents who are more risk averse, are driven more by solidarity motives, and less susceptible to cost fluctuations. This basic micro-level model is used to simulate decision-making for agent populations in a dynamic, interdependent setting. Simulation results show that successful risk-sharing arrangements may work if participants are driven by motivations of solidarity or risk aversion, but this is less likely in populations more heterogeneous in risk, as individual motivations can less frequently make up for larger cost deficiencies. At the same time, more heterogeneous groups deal better with uncertainty and temporary cost fluctuations than more homogeneous populations do. In the latter, cascades following temporary peaks in support requests more often result in complete failure, while under full information about the risk distribution this would not have happened. Risk Sharing, Risk Aversion, Solidarity, Uncertainty, Heterogeneity, Adverse Selection Sharing Risk Under Heterogeneity: Exploring Participation Patterns in Situations of Incomplete Information",https://www.jasss.org/25/2/5.html
The Role of Reinforcement Learning in the Emergence of Conventions: Simulation Experiments with the Repeated Volunteer’s Dilemma,"We use reinforcement learning models to investigate the role of cognitive mechanisms in the emergence of conventions in the repeated volunteer’s dilemma (VOD). The VOD is a multi-person, binary choice collective goods game in which the contribution of only one individual is necessary and sufficient to produce a benefit for the entire group. Behavioral experiments show that in the symmetric VOD, where all group members have the same costs of volunteering, a turn-taking convention emerges, whereas in the asymmetric VOD, where one “strong” group member has lower costs of volunteering, a solitary-volunteering convention emerges with the strong member volunteering most of the time. We compare three different classes of reinforcement learning models in their ability to replicate these empirical findings. Our results confirm that reinforcement learning models can provide a parsimonious account of how humans tacitly agree on one course of action when encountering each other repeatedly in the same interaction situation. We find that considering contextual clues (i.e., reward structures) for strategy design (i.e., sequences of actions) and strategy selection (i.e., favoring equal distribution of costs) facilitate coordination when optima are less salient. Furthermore, our models produce better fits with the empirical data when agents act myopically (favoring current over expected future rewards) and the rewards for adhering to conventions are not delayed. Conventions, Repeated Games, Volunteer’s Dilemma, Agent Based Simulation, Reinforcement Learning, Cognitive Modeling The Role of Reinforcement Learning in the Emergence of Conventions: Simulation Experiments with the Repeated Volunteer’s Dilemma",https://www.jasss.org/25/1/7.html
Calibrating Agent-Based Models Using Uncertainty Quantification Methods,"Agent-based models (ABMs) can be found across a number of diverse application areas ranging from simulating consumer behaviour to infectious disease modelling. Part of their popularity is due to their ability to simulate individual behaviours and decisions over space and time. However, whilst there are plentiful examples within the academic literature, these models are only beginning to make an impact within policy areas. Whilst frameworks such as NetLogo make the creation of ABMs relatively easy, a number of key methodological issues, including the quantification of uncertainty, remain. In this paper we draw on state-of-the-art approaches from the fields of uncertainty quantification and model optimisation to describe a novel framework for the calibration of ABMs using History Matching and Approximate Bayesian Computation. The utility of the framework is demonstrated on three example models of increasing complexity: (i) Sugarscape to illustrate the approach on a toy example; (ii) a model of the movement of birds to explore the efficacy of our framework and compare it to alternative calibration approaches and; (iii) the RISC model of farmer decision making to demonstrate its value in a real application. The results highlight the efficiency and accuracy with which this approach can be used to calibrate ABMs. This method can readily be applied to local or national-scale ABMs, such as those linked to the creation or tailoring of key policy decisions. Calibration, Optimisation, History Matching, Proximate Bayesian Computation, Uncertainty, Agent Based Modeling Calibrating Agent-Based Models Using Uncertainty Quantification Methods",https://www.jasss.org/25/2/1.html
Agent-Based Modelling of Future Dairy and Plant-Based Milk Consumption for UK Climate Targets,"A reduction in the production and consumption of meat and dairy across much of the world is critical for climate change mitigation, the alleviation of ecological stress, and improved health. We update an agent-based model (ABM) of historic UK milk consumption and apply it to scenarios of dairy reduction and adoption of plant-based milk (PBM) out to 2050. The updated model is comprised of a cognitive function, where agents perceive the physical, health and environmental characteristics of milk choice, which is modified by habit and social influence. We use European Social Survey 2018 and British Social Attitudes 2008 survey data to empirically inform the model. Taking a backcasting approach, we calibrate parameters against published UK dairy reduction targets (2030 and 2050), and test how different price relationships, and characterisations of environmental concern, may affect simulated milk consumption from 2020 to 2050. Scenarios for core targets (20% less dairy by 2030 and 35% by 2050) largely produced plausible consumption trajectories. However, at current pricing of dairy and PBM, simulated consumption was mostly unable to deliver on desired core targets, but this improved markedly with dairy prices set to organic levels. The influence of changing environmental concern on milk choice resulted in higher levels of dairy milk reduction. When modelled as transient, intense shocks to public concern, consumption patterns did not fundamentally change. However, small, incremental but permanent changes to concern did produce structural changes to consumption patterns, with dairy falling below plant-based alternatives at around 2030. This study is the first to apply an ABM  in the context of scenarios for dairy reduction and PBM adoption in service to UK climate-related consumption targets. It can serve as valuable bottom-up, alternative, evidence on the feasibility of dietary shift targets, and poses policy implications for how to address impediments to behavioural change. Plant Based Milk, Dairy Reduction, Sustainable Diets, Agent Based Modeling, Calibration, Scenario Analysis Agent-Based Modelling of Future Dairy and Plant-Based Milk Consumption for UK Climate Targets",https://www.jasss.org/25/2/3.html
ReMoTe-S. Residential Mobility of Tenants in Switzerland: An Agent-Based Model,"Sustainable housing is a key priority for Switzerland. To provide both environmentally and socio-culturally sustainable housing, Swiss property owners need to navigate the complex and context-specific system that articulates the match between households’ preferences and the dwellings available to them—i.e., residential mobility. In response to this need, this paper outlines ReMoTe-S, an agent-based model of tenants’ residential mobility in Switzerland. The model design is based on empirical research conducted with the tenants of three multifamily housing providers. It accounts for the life course of dwellings and households, during which the latter attempt to maximise their satisfaction, which is calculated as the correspondence between their desired housing functions (e.g. a status symbol) and the functions of dwellings. To illustrate the model’s potential uses, we explore the sensitivity of its outputs to changes in dwellings’ and buildings’ qualitative and quantitative features by looking at two key indicators of housing sustainability: floor space per capita and vacancy rate. We firstly observe that a supply dominated by medium-to-large dwellings and the application of less strict occupancy rules can result in housing underoccupancy. Secondly, it emerges that certain combinations of housing features engender a lower vacancy rate inasmuch as they more successfully generate housing functions. We conclude that by enabling housing providers to explore the complex human-environment interactions of the housing system, ReMoTe-S can be used to inform a sustainable management of housing stock. Household Mobility, Household Relocation, Housing, Human Environment Systems, Sustainability, Agent Based Modeling ReMoTe-S. Residential Mobility of Tenants in Switzerland: An Agent-Based Model",https://www.jasss.org/25/2/4.html
An Agent-Based Model of Motor Insurance Customer Behaviour in the UK with Word of Mouth,"Attracting and retaining loyal customers is a key driver of insurance profit. An important factor is the customers' opinion of an insurer's service quality. If a customer has a bad experience with an insurer, they will be less likely to buy from them again. Word-of-mouth networks allow information to spread between customers. In this paper we build an agent-based model with two types of agents: customers and insurers. Insurers are price-takers who choose how much to spend on their service quality, and customers evaluate insurers based on premium, brand preference, and their perceived service quality. Customers are also connected in a small-world network and may share their opinions with their network. We find that the existence of the network acts as a persistent memory, causing a systemic bias whereby an insurer's early reputation achieved by random chance tends to persist and leads to unequal market shares. This occurs even when the transmission of information is very low. This suggests that newer insurers might benefit more from a higher service quality as they build their reputation. Insurers with a higher service quality earn more profit, even when the customer preference for better service quality is small. The UK regulator is intending to ban the practice of charging new customers less than renewing customers. When the model is run with this scenario, the retention rates increase substantially and there is less movement away from insurers with a good initial reputation. This increases the skewness in market concentrations, but there is a greater incentive for good service quality. Insurance, Word Of Mouth, Agent Based Model, Networks, Customer Service, Renewal Premium An Agent-Based Model of Motor Insurance Customer Behaviour in the UK with Word of Mouth",https://www.jasss.org/25/2/2.html
